codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0214263AR,431204.082,4585315.672,41.4164507,2.17679,Styphnolobium japonicum,28.91822809,3,Warm
0214265AR,431240.339,4585489.328,41.4180179,2.1772041,Styphnolobium japonicum,28.57245562,2,Cool
0214267AR,430597.545,4585150.825,41.4149139,2.1695519,Styphnolobium japonicum,29.07662315,3,Warm
0214270AR,431083.319,4585319.423,41.4164742,2.1753447,Styphnolobium japonicum,29.33796712,3,Warm
0214274AR,431381.909,4585464.959,41.4178105,2.1789008,Styphnolobium japonicum,28.67482342,2,Cool
0214281AR,431043.422,4585337.063,41.4166296,2.1748653,Styphnolobium japonicum,29.73600951,3,Warm
0214290AR,431097.822,4585230.652,41.4156759,2.1755283,Styphnolobium japonicum,29.39362116,3,Warm
0214291AR,431231.779,4585491.995,41.4180412,2.1771014,Styphnolobium japonicum,28.60104064,2,Cool
0214305AR,431394.393,4585491.296,41.4180488,2.1790471,Styphnolobium japonicum,28.66175058,2,Cool
0214311AR,431218.79400000005,4585288.761,41.4162096,2.1769691,Styphnolobium japonicum,28.91026574,3,Warm
0214334AR,430889.298,4585132.585,41.4147747,2.1730446,Styphnolobium japonicum,31.28481015,4,Hottest
0214341AR,431310.002,4585331.302,41.4166006,2.1780556,Styphnolobium japonicum,28.73187079,2,Cool
0214351AR,430956.421,4585198.286,41.4153722,2.1738402,Styphnolobium japonicum,31.14244535,4,Hottest
0214361AR,431574.555,4585709.966,41.4200336,2.1811781,Styphnolobium japonicum,28.75507518,2,Cool
0214365AR,430899.418,4585413.501,41.4173057,2.1731336,Styphnolobium japonicum,30.37615572,4,Hottest
0214373AR,430950.5960000001,4585389.873,41.4170973,2.1737487,Styphnolobium japonicum,30.48762285,4,Hottest
0214374AR,431341.763,4585436.921,41.4175545,2.1784236,Styphnolobium japonicum,28.62532574,2,Cool
0214376AR,431421.242,4585244.05,41.4158242,2.1793964,Styphnolobium japonicum,28.75308794,2,Cool
0214378AR,430979.57,4585957.226,41.4222097,2.1740306,Styphnolobium japonicum,28.56368312,2,Cool
0214379AR,431228.063,4585416.312,41.4173592,2.1770655,Styphnolobium japonicum,28.74103613,2,Cool
0214396AR,431492.627,4585546.012,41.41855,2.1802163,Styphnolobium japonicum,28.79891752,2,Cool
0214397AR,431589.342,4585725.068,41.4201709,2.1813533,Styphnolobium japonicum,28.76667294,2,Cool
0214401AR,431375.256,4585355.623,41.4168252,2.1788336,Styphnolobium japonicum,28.80785754,2,Cool
0214404AR,431274.472,4585230.721,41.4156916,2.1776419,Styphnolobium japonicum,28.82713411,2,Cool
0214407AR,430871.293,4585416.254,41.4173281,2.1727968,Styphnolobium japonicum,30.29783725,4,Hottest
0214412AR,431261.488,4585545.548,41.4185261,2.1774508,Styphnolobium japonicum,28.51509207,2,Cool
0214417AR,431258.28,4585539.016,41.4184669,2.1774131,Styphnolobium japonicum,28.51585734,2,Cool
0214423AR,431373.064,4585347.925,41.4167557,2.1788082,Styphnolobium japonicum,28.80295225,2,Cool
0214438AR,431222.905,4585409.569,41.417298,2.1770046,Styphnolobium japonicum,28.7584074,2,Cool
0214448AR,431317.76,4585327.471,41.4165667,2.1781488,Styphnolobium japonicum,28.72658957,2,Cool
0214451AR,431361.804,4585446.661,41.417644,2.1786623,Styphnolobium japonicum,28.65065173,2,Cool
0214473AR,431354.633,4585406.391,41.4172807,2.1785811,Styphnolobium japonicum,28.70847585,2,Cool
0214474AR,431277.604,4585556.402,41.4186252,2.1776424,Styphnolobium japonicum,28.50941772,2,Cool
0214480AR,430894.474,4585405.982,41.4172376,2.1730753,Styphnolobium japonicum,30.56793153,4,Hottest
0214498AR,430678.715,4585065.037,41.4141482,2.1705329,Styphnolobium japonicum,29.52384734,3,Warm
0214502AR,431107.1230000001,4585317.763,41.4164612,2.1756297,Styphnolobium japonicum,29.17595869,3,Warm
0214521AR,431255.251,4585125.531,41.4147426,2.1774239,Styphnolobium japonicum,28.79841137,2,Cool
0214523AR,430587.224,4585175.23,41.4151328,2.1694256,Styphnolobium japonicum,29.11064677,3,Warm
0214524AR,431220.98399999994,4585453.982,41.4176979,2.1769765,Styphnolobium japonicum,28.69228484,2,Cool
0214525AR,430885.569,4585841.626,41.4211605,2.172919,Styphnolobium japonicum,28.45072401,2,Cool
0214548AR,430574.56,4585469.794,41.4177847,2.1692403,Styphnolobium japonicum,28.76739691,2,Cool
0214560AR,431008.11900000006,4585436.382,41.4175211,2.1744316,Styphnolobium japonicum,29.48403724,3,Warm
0214571AR,431173.892,4585335.629,41.4166279,2.1764265,Styphnolobium japonicum,28.94438494,3,Warm
0214583AR,431261.851,4585528.051,41.4183685,2.1774571,Styphnolobium japonicum,28.49984542,2,Cool
0214586AR,431091.127,4585315.749,41.4164417,2.1754385,Styphnolobium japonicum,29.27061811,3,Warm
0214591AR,431434.431,4585249.578,41.4158751,2.1795536,Styphnolobium japonicum,28.78947355,2,Cool
0214596AR,430858.344,4585102.233,41.4144987,2.1726777,Styphnolobium japonicum,31.06039927,4,Hottest
0214601AR,430902.002,4586200.231,41.4243917,2.1730746,Styphnolobium japonicum,28.57323448,2,Cool
0214604AR,431210.502,4585435.421,41.4175298,2.1768532,Styphnolobium japonicum,28.75313869,2,Cool
0214612AR,431369.721,4585250.537,41.4158782,2.1787793,Styphnolobium japonicum,28.68706869,2,Cool
0214621AR,431358.129,4585239.4,41.4157769,2.1786418,Styphnolobium japonicum,28.68054605,2,Cool
0214639AR,430627.546,4585118.035,41.4146211,2.1699146,Styphnolobium japonicum,29.10418391,3,Warm
0214641AR,431283.361,4585464.942,41.4178019,2.1777216,Styphnolobium japonicum,28.54480633,2,Cool
0214660AR,430940.781,4585183.197,41.415235,2.1736548,Styphnolobium japonicum,31.25768452,4,Hottest
0214662AR,431116.20199999993,4585263.752,41.4159756,2.1757445,Styphnolobium japonicum,29.20258866,3,Warm
0214683AR,430878.333,4585423.449,41.4173935,2.1728802,Styphnolobium japonicum,30.16675287,3,Warm
0214689AR,430992.995,4585463.763,41.4177664,2.1742475,Styphnolobium japonicum,29.30920796,3,Warm
0214699AR,431339.181,4585282.584,41.4161643,2.1784102,Styphnolobium japonicum,28.71045649,2,Cool
0214702AR,430893.821,4585827.847,41.4210371,2.1730193,Styphnolobium japonicum,28.48504327,2,Cool
0214704AR,431320.17,4585334.034,41.416626,2.1781769,Styphnolobium japonicum,28.71897063,2,Cool
0214713AR,431389.704,4585429.775,41.4174943,2.178998,Styphnolobium japonicum,28.80286711,2,Cool
0214720AR,430587.911,4585463.864,41.4177325,2.1694007,Styphnolobium japonicum,28.79195678,2,Cool
0214722AR,430889.386,4585785.582,41.420656,2.1729711,Styphnolobium japonicum,28.53029099,2,Cool
0214725AR,430868.682,4585112.504,41.4145921,2.1728003,Styphnolobium japonicum,31.1447644,4,Hottest
0214730AR,430892.333,4585845.663,41.4211974,2.1729995,Styphnolobium japonicum,28.45320676,2,Cool
0214733AR,430841.343,4585429.815,41.4174476,2.1724369,Styphnolobium japonicum,29.88222917,3,Warm
0214735AR,430640.038,4585104.875,41.4145037,2.1700655,Styphnolobium japonicum,29.15568707,3,Warm
0214738AR,430608.444,4585137.193,41.414792,2.1696838,Styphnolobium japonicum,29.09813288,3,Warm
0214745AR,431196.726,4585744.862,41.4203157,2.1766532,Styphnolobium japonicum,28.76288962,2,Cool
0214750AR,430399.466,4585234.607,41.4156513,2.1671723,Styphnolobium japonicum,29.58940656,3,Warm
0214768AR,431218.821,4585300.598,41.4163162,2.1769681,Styphnolobium japonicum,28.90787069,3,Warm
0214769AR,431194.305,4585325.956,41.4165425,2.1766719,Styphnolobium japonicum,28.92507372,3,Warm
0214770AR,431159.193,4585342.052,41.4166845,2.1762499,Styphnolobium japonicum,28.96427813,3,Warm
0214778AR,431189.644,4585319.37,41.4164828,2.1766169,Styphnolobium japonicum,28.93458013,3,Warm
0214786AR,431022.893,4585429.003,41.4174559,2.1746092,Styphnolobium japonicum,29.43744291,3,Warm
0214794AR,430853.417,4585424.201,41.4173981,2.172582,Styphnolobium japonicum,30.06767156,3,Warm
0214801AR,431174.783,4585387.782,41.4170977,2.1764313,Styphnolobium japonicum,28.89234467,3,Warm
0214813AR,431277.827,4585395.923,41.4171798,2.1776633,Styphnolobium japonicum,28.68734005,2,Cool
0214816AR,431272.454,4585547.64,41.4185458,2.1775817,Styphnolobium japonicum,28.49817218,2,Cool
0214824AR,431265.357,4585552.126,41.4185856,2.1774963,Styphnolobium japonicum,28.5155088,2,Cool
0214836AR,431080.193,4585330.332,41.4165721,2.1753061,Styphnolobium japonicum,29.33685694,3,Warm
0214839AR,431141.529,4585327.76,41.4165542,2.1760402,Styphnolobium japonicum,29.01873089,3,Warm
0214854AR,430653.824,4585090.655,41.4143768,2.1702321,Styphnolobium japonicum,29.26967911,3,Warm
0214856AR,431190.395,4584935.087,41.4130218,2.1766696,Styphnolobium japonicum,28.51972639,2,Cool
0214864AR,430665.83,4585078.488,41.4142682,2.1703772,Styphnolobium japonicum,29.3828798,3,Warm
0214868AR,430905.186,4585400.846,41.4171922,2.1732041,Styphnolobium japonicum,30.64781197,4,Hottest
0214883AR,430585.676,4585183.89,41.4152106,2.1694061,Styphnolobium japonicum,29.11558267,3,Warm
0214901AR,431483.794,4585551.895,41.4186022,2.18011,Styphnolobium japonicum,28.78630996,2,Cool
0214904AR,430871.596,4585426.589,41.4174212,2.1727992,Styphnolobium japonicum,30.10459212,3,Warm
0214922AR,430997.907,4585368.333,41.4169073,2.1743172,Styphnolobium japonicum,30.17537026,3,Warm
0214946AR,431342.895,4585170.31,41.4151534,2.1784674,Styphnolobium japonicum,28.70303433,2,Cool
0214948AR,431441.0829999999,4585531.866,41.4184182,2.1796012,Styphnolobium japonicum,28.72890372,2,Cool
0214956AR,430549.218,4585490.756,41.4179713,2.1689346,Styphnolobium japonicum,28.7035282,2,Cool
0214969AR,430890.863,4585869.816,41.4214148,2.1729791,Styphnolobium japonicum,28.40709874,2,Cool
0214977AR,431381.302,4585423.808,41.4174398,2.1788982,Styphnolobium japonicum,28.76626799,2,Cool
0215001AR,431056.912,4585331.173,41.4165777,2.1750274,Styphnolobium japonicum,29.58555159,3,Warm
0215013AR,431161.028,4586070.777,41.423248,2.176189,Styphnolobium japonicum,28.68151147,2,Cool
0215023AR,431308.024,4585456.798,41.4177307,2.1780176,Styphnolobium japonicum,28.5497053,2,Cool
0215026AR,431070.258,4585325.62,41.4165289,2.1751877,Styphnolobium japonicum,29.45487179,3,Warm
0215031AR,430892.887,4585840.155,41.4211479,2.1730067,Styphnolobium japonicum,28.46382673,2,Cool
0215039AR,430883.39,4585410.955,41.4172814,2.1729421,Styphnolobium japonicum,30.45554227,4,Hottest
0215054AR,431331.67,4585213.064,41.4155375,2.1783282,Styphnolobium japonicum,28.71283338,2,Cool
0215058AR,430904.5140000001,4585147.564,41.4149109,2.173225,Styphnolobium japonicum,31.35882412,4,Hottest
0215064AR,431120.332,4585270.892,41.4160402,2.1757931,Styphnolobium japonicum,29.18133291,3,Warm
0215069AR,430935.571,4585178.167,41.4151892,2.1735931,Styphnolobium japonicum,31.30167421,4,Hottest
