codi,LST_zone,SOS,POS,EOS,GSL
0064745AR,1,61.2656328164082,139.55977988994496,273.3816908454227,212.11605802901454
0064755AR,1,65.52276138069034,136.7833916958479,287.44872436218105,221.92596298149073
0064759AR,1,68.8544272136068,130.86043021510756,316.3231615807904,247.46873436718357
0064763AR,1,49.97498749374687,148.99949974987493,263.94197098549273,213.96698349174585
0064764AR,1,65.3376688344172,152.5162581290645,281.71085542771385,216.37318659329665
0064771AR,1,56.63831915957979,150.66533266633317,303.9219609804902,247.28364182091042
0064776AR,1,74.22211105552776,143.2616308154077,300.96048024012003,226.73836918459227
0064777AR,1,64.04202101050525,138.264132066033,241.73086543271634,177.6888444222111
0064787AR,1,45.71785892946473,238.9544772386193,308.17908954477235,262.4612306153076
0064835AR,1,43.31165582791395,137.33866933466732,295.0375187593797,251.7258629314657
0064886AR,1,72.9264632316158,201.93596798399196,319.28464232116056,246.35817908954476
0064892AR,1,73.85192596298148,148.62931465732865,282.0810405202601,208.22911455727862
0064894AR,1,69.77988994497248,189.34967483741872,299.479739869935,229.6998499249625
0064906AR,1,52.011005502751374,233.40170085042521,305.2176088044022,253.2066033016508
0064918AR,1,30.170085042521258,168.24912456228114,277.82391195597796,247.6538269134567
0064919AR,1,52.93646823411705,203.97198599299648,304.8474237118559,251.91095547773887
0064943AR,1,68.66933466733366,135.6728364182091,300.0350175087544,231.36568284142072
0064960AR,1,61.45072536268133,149.36968484242118,324.2821410705352,262.83141570785386
0064985AR,1,45.53276638319159,145.8529264632316,287.6338169084542,242.10105052526262
0064994AR,1,67.74387193596799,123.08654327163582,279.8599299649825,212.11605802901448
0065000AR,1,40.90545272636318,144.55727863931966,293.92696348174087,253.02151075537768
0065004AR,1,68.11405702851425,150.48024012006002,296.88844422211105,228.7743871935968
0065006AR,1,79.77488744372187,143.44672336168082,294.11205602801397,214.3371685842921
0065011AR,1,68.8544272136068,158.25412706353174,296.1480740370185,227.29364682341168
0065021AR,1,64.7823911955978,228.95947973986992,305.7728864432216,240.99049524762378
0065037AR,1,65.89294647323662,191.38569284642318,288.92946473236617,223.03651825912954
0065043AR,1,19.2496248124062,159.91995997998998,291.5207603801901,272.2711355677839
0065044AR,1,55.34267133566783,143.07653826913457,294.2971485742871,238.9544772386193
0065059AR,1,56.63831915957979,185.09254627313655,279.8599299649825,223.2216108054027
0065069AR,1,77.73886943471734,141.41070535267633,273.751875937969,196.01300650325163
0065096AR,1,59.2296148074037,189.16458229114554,308.17908954477235,248.94947473736866
0065109AR,1,52.011005502751374,148.81440720360177,265.2376188094047,213.22661330665332
0065124AR,1,19.619809904952476,157.32866433216608,297.0735367683842,277.4537268634317
0065144AR,1,57.93396698349174,147.14857428714356,263.3866933466733,205.45272636318157
0065148AR,1,42.20110055027513,143.2616308154077,291.33566783391694,249.13456728364181
0065159AR,1,24.802401200600297,154.18209104552275,275.9729864932466,251.1705852926463
0065182AR,1,61.2656328164082,156.4032016008004,268.93946973486743,207.67383691845924
