codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0235816AR,434405.977,4585219.747,41.4158545,2.2151107,Celtis australis,28.3978407,2,Cool
0235821AR,434340.115,4584953.247,41.4134488,2.2143516,Celtis australis,29.28574947,3,Warm
0235835AR,434683.835,4585276.689,41.41639,2.218429,Celtis australis,28.94972602,3,Warm
0235839AR,434719.896,4585080.835,41.4146289,2.2188816,Celtis australis,28.82175277,2,Cool
0235852AR,434243.60900000005,4585607.559,41.4193341,2.2131258,Celtis australis,29.8701483,3,Warm
0235861AR,434601.27,4585017.288,41.4140469,2.2174692,Celtis australis,28.11942836,2,Cool
0235874AR,434497.487,4585284.537,41.4164455,2.2161986,Celtis australis,29.4130639,3,Warm
0235876AR,434065.038,4585745.543,41.4205623,2.2109741,Celtis australis,28.21652622,2,Cool
0235883AR,434066.495,4584899.359,41.4129411,2.2110838,Celtis australis,30.48111532,4,Hottest
0235884AR,434060.468,4585705.014,41.4201969,2.2109238,Celtis australis,28.06655571,2,Cool
0235893AR,434231.634,4585711.459,41.420269,2.2129712,Celtis australis,29.84642829,3,Warm
0235905AR,434346.935,4585396.429,41.417441,2.2143851,Celtis australis,28.82234317,2,Cool
0235924AR,434133.783,4584795.175,41.4120082,2.2119002,Celtis australis,30.34654081,4,Hottest
0235929AR,434004.597,4585274.88,41.4163182,2.2103022,Celtis australis,29.81915614,3,Warm
0235940AR,434355.479,4585562.228,41.418935,2.2144693,Celtis australis,29.53429411,3,Warm
0235948AR,434303.01699999993,4585300.268,41.4165713,2.21387,Celtis australis,27.74065597,1,Coolest
0235981AR,434577.069,4585054.775,41.4143826,2.2171756,Celtis australis,28.26936406,2,Cool
0235985AR,434267.108,4585354.589,41.4170576,2.2134345,Celtis australis,27.66588881,1,Coolest
0235994AR,434483.036,4585463.381,41.4180551,2.2160063,Celtis australis,29.2795246,3,Warm
0236003AR,434245.4770000001,4585602.492,41.4192887,2.2131487,Celtis australis,29.84952199,3,Warm
0236005AR,434078.434,4584911.689,41.4130531,2.2112253,Celtis australis,30.66091379,4,Hottest
0236015AR,434296.479,4585584.449,41.4191303,2.2137609,Celtis australis,29.60362155,3,Warm
0236017AR,434556.408,4585075.755,41.4145699,2.2169261,Celtis australis,28.37550634,2,Cool
0236019AR,434641.59,4584957.708,41.4135136,2.2179581,Celtis australis,27.51332276,1,Coolest
0236021AR,434259.72,4585639.909,41.4196268,2.2133151,Celtis australis,29.82204736,3,Warm
0236025AR,434409.917,4585215.587,41.4158173,2.2151583,Celtis australis,28.36333101,2,Cool
0236028AR,434209.764,4584838.028,41.4124004,2.2128045,Celtis australis,31.39519628,4,Hottest
0236039AR,434313.489,4585566.809,41.4189728,2.2139664,Celtis australis,29.55348499,3,Warm
0236044AR,434299.869,4585507.661,41.418439,2.2138098,Celtis australis,29.35219586,3,Warm
0236046AR,434368.698,4585556.136,41.4188812,2.2146281,Celtis australis,29.55088275,3,Warm
0236053AR,434239.868,4585420.409,41.4176482,2.2131014,Celtis australis,28.11769532,2,Cool
0236058AR,434198.184,4584886.958,41.4128402,2.2126607,Celtis australis,31.27951171,4,Hottest
0236064AR,434381.835,4585021.597,41.4140678,2.2148433,Celtis australis,27.99510135,2,Cool
0236065AR,434074.772,4585727.719,41.4204026,2.2110925,Celtis australis,28.35065149,2,Cool
0236066AR,434176.358,4584805.052,41.4121007,2.2124085,Celtis australis,30.91259855,4,Hottest
0236070AR,434624.746,4585115.506,41.4149334,2.2177395,Celtis australis,28.99937576,3,Warm
0236078AR,434575.038,4585380.446,41.4173157,2.2171161,Celtis australis,29.13793069,3,Warm
0236092AR,434461.406,4585051.197,41.4143409,2.2157921,Celtis australis,27.61039901,1,Coolest
0236101AR,434066.138,4585753.903,41.4206377,2.2109864,Celtis australis,28.33606512,2,Cool
0236102AR,434553.826,4585149.94,41.4152378,2.2168872,Celtis australis,28.74766817,2,Cool
