codi,LST_zone,SOS,POS,EOS,GSL
0020643AR,1,44.445371142618846,94.97914929107588,294.67889908256876,250.2335279399499
0020653AR,1,0.0,282.8065054211843,315.0750625521267,315.0750625521267
0020672AR,1,55.40450375312761,91.63052543786488,303.2026688907423,247.7981651376147
0020685AR,1,53.273561301084236,108.98248540450375,365.0,311.7264386989158
0020687AR,1,68.79899916597164,114.76647206005003,365.0,296.2010008340284
0020690AR,1,66.97247706422017,205.1793160967473,326.94745621351126,259.9749791492911
0020692AR,1,42.61884904086739,104.41618015012509,291.6346955796497,249.0158465387823
0020701AR,1,56.013344453711426,117.81067556296912,317.81484570475396,261.8015012510425
0020707AR,1,56.622185154295245,127.85654712260215,263.32360300250207,206.70141784820683
0020712AR,1,53.273561301084236,90.41284403669724,338.5154295246038,285.2418682235196
0020713AR,1,67.8857381150959,123.29024186822352,237.75229357798165,169.86655546288574
0020737AR,1,59.970809007506254,119.63719766472059,287.9816513761468,228.0108423686405
0020772AR,1,58.14428690575479,106.54712260216847,271.23853211009174,213.09424520433694
0020803AR,1,51.142618849040865,90.71726438698916,323.59883236030026,272.4562135112594
0020809AR,1,49.011676396997494,126.63886572143451,264.5412844036697,215.5296080066722
0020810AR,1,13.698915763135945,167.12677231025856,281.2844036697247,267.58548790658875
0020861AR,1,61.18849040867389,120.24603836530441,259.0617180984153,197.87322768974144
0020873AR,1,57.83986655546288,98.02335279399499,298.6363636363636,240.79649708090074
0020882AR,1,50.53377814845704,113.8532110091743,317.81484570475396,267.28106755629693
0020892AR,1,45.35863219349458,222.2268557130942,298.9407839866555,253.58215179316093
0020923AR,1,56.622185154295245,100.15429524603836,311.72643869891573,255.1042535446205
0020944AR,1,55.70892410341951,113.5487906588824,301.68056713928274,245.97164303586322
0020948AR,1,58.4487072560467,122.37698081734779,274.58715596330273,216.13844870725603
0020950AR,1,38.05254378648874,98.02335279399499,349.4745621351126,311.42201834862385
0020963AR,1,52.0558798999166,104.720600500417,291.6346955796497,239.5788156797331
0020992AR,1,52.3603002502085,90.10842368640533,281.8932443703086,229.5329441201001
0020994AR,1,68.79899916597164,107.1559633027523,365.0,296.2010008340284
0020998AR,1,54.79566305254378,98.02335279399499,323.29441201000833,268.49874895746456
0021000AR,1,92.2393661384487,253.58215179316096,274.58715596330273,182.34778982485403
0021023AR,1,60.27522935779816,88.58632193494579,365.0,304.72477064220186
0021030AR,1,48.402835696413675,113.24437030859049,275.80483736447036,227.4020016680567
0021041AR,1,46.57631359466222,133.94495412844034,258.1484570475396,211.57214345287736
0021043AR,1,50.53377814845704,121.46371976647205,245.3628023352794,194.82902418682238
0021044AR,1,41.09674728940784,96.80567139282735,365.0,323.90325271059214
0021055AR,1,57.53544620517097,100.76313594662219,265.1501251042535,207.61467889908255
0021070AR,1,54.79566305254378,158.29858215179317,340.3419516263553,285.5462885738115
0021089AR,1,54.79566305254378,85.8465387823186,344.603836530442,289.8081734778982
0021102AR,1,53.88240200166805,110.50458715596329,284.6330275229358,230.75062552126772
0021122AR,1,42.9232693911593,96.50125104253544,312.03085904920766,269.10758965804837
0021921AR,1,32.57297748123436,123.59466221851542,277.3269391159299,244.75396163469554
0023192AR,4,59.361968306922435,98.93661384487072,341.5596330275229,282.19766472060047
0023218AR,4,45.054211843202665,109.59132610508756,365.0,319.94578815679733
0023221AR,1,57.23102585487906,84.93327773144287,301.9849874895746,244.75396163469557
0023223AR,4,59.361968306922435,158.90742285237698,281.8932443703086,222.53127606338614
0023224AR,4,55.40450375312761,89.19516263552961,324.8165137614679,269.4120100083403
0023236AR,1,42.314428690575475,102.28523769808173,365.0,322.6855713094245
0023238AR,4,53.57798165137615,90.71726438698916,311.117597998332,257.5396163469558
0023244AR,4,59.05754795663052,93.45704753961634,340.3419516263553,281.2844036697248
0023247AR,4,57.53544620517097,91.63052543786488,303.8115095913261,246.27606338615516
0023250AR,4,54.491242702251874,90.41284403669724,358.30275229357795,303.81150959132606
0023256AR,1,51.142618849040865,109.59132610508756,264.8457047539616,213.70308590492075
0023258AR,4,63.31943286071726,102.28523769808173,336.08006672226855,272.7606338615513
0023268AR,1,21.613844870725604,128.46538782318598,269.10758965804837,247.49374478732275
0023276AR,1,53.273561301084236,82.80233527939949,299.24520433694744,245.9716430358632
0023289AR,4,55.70892410341951,107.4603836530442,326.94745621351126,271.23853211009174
0023296AR,4,53.273561301084236,98.3277731442869,301.3761467889908,248.10258548790657
0023305AR,4,56.013344453711426,88.58632193494579,282.19766472060047,226.18432026688905
0023320AR,1,38.965804837364466,104.720600500417,305.02919099249374,266.06338615512925
0023322AR,4,60.88407005838198,98.93661384487072,331.20934111759794,270.325271059216
0023325AR,4,61.79733110925771,92.2393661384487,365.0,303.2026688907423
0023332AR,1,51.44703919933277,128.7698081734779,241.10091743119264,189.65387823185986
0023337AR,4,54.79566305254378,103.50291909924937,322.0767306088407,267.28106755629693
0023338AR,4,56.92660550458715,87.97748123436196,357.998331943286,301.0717264386989
0023341AR,4,62.710592160133444,117.81067556296912,343.6905754795663,280.97998331943285
0023342AR,1,47.18515429524603,87.97748123436196,299.85404503753125,252.6688907422852
0023345AR,1,48.70725604670559,99.84987489574645,283.71976647206003,235.01251042535444
0023355AR,1,44.74979149291075,117.81067556296912,295.5921601334445,250.84236864053375
0023358AR,4,60.88407005838198,99.54545454545453,365.0,304.115929941618
0023359AR,4,56.31776480400334,100.15429524603836,310.5087572977481,254.19099249374477
0023365AR,4,60.88407005838198,116.28857381150958,356.78065054211845,295.89658048373644
0023376AR,1,54.18682235195996,115.67973311092577,236.2301918265221,182.04336947456213
0023378AR,1,37.13928273561301,122.9858215179316,257.8440366972477,220.7047539616347
0023382AR,1,54.79566305254378,227.7064220183486,345.21267723102585,290.4170141784821
0023385AR,4,58.4487072560467,104.41618015012509,327.86071726438695,269.41201000834025
0023414AR,4,56.013344453711426,89.4995829858215,284.6330275229358,228.61968306922435
