codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0089036AR,429357.0,4581251.0,41.3796815,2.1551644,Platanus × acerifolia,28.53030692,3,Warm
0089039AR,428717.814,4582092.724,41.3872062,2.147422,Platanus × acerifolia,30.71627302,4,Hottest
0089040AR,429327.176,4581232.288,41.3795103,2.15481,Platanus × acerifolia,28.54840001,3,Warm
0089041AR,428994.348,4581846.716,41.3850149,2.150758,Platanus × acerifolia,28.53680341,3,Warm
0089045AR,429006.62,4581798.234,41.3845794,2.1509105,Platanus × acerifolia,28.09555076,2,Cool
0089046AR,428388.872,4582273.987,41.3888096,2.1434667,Platanus × acerifolia,28.80412494,3,Warm
0089047AR,428416.365,4582373.66,41.3897097,2.1437837,Platanus × acerifolia,28.95646195,3,Warm
0089048AR,429456.95000000007,4581359.419,41.3806667,2.156347,Platanus × acerifolia,28.63040741,3,Warm
0089052AR,429198.037,4581095.185,41.3782641,2.1532817,Platanus × acerifolia,28.27930179,2,Cool
0089062AR,429127.869,4581806.021,41.3846602,2.1523596,Platanus × acerifolia,28.82762787,3,Warm
0089065AR,429151.324,4581651.601,41.3832715,2.1526581,Platanus × acerifolia,29.13668336,3,Warm
0089068AR,429389.138,4581292.851,41.3800612,2.1555438,Platanus × acerifolia,28.57202955,3,Warm
0089072AR,428985.0,4580897.0,41.3764604,2.1507575,Platanus × acerifolia,28.61423926,3,Warm
0089073AR,428853.753,4581381.611,41.3808135,2.1491313,Platanus × acerifolia,28.91445349,3,Warm
0089078AR,428748.932,4581662.825,41.383337,2.1478447,Platanus × acerifolia,28.93103282,3,Warm
0089079AR,429175.898,4581073.585,41.3780676,2.1530195,Platanus × acerifolia,28.33929182,2,Cool
0089081AR,428442.458,4582226.837,41.3883897,2.1441131,Platanus × acerifolia,28.97296296,3,Warm
0089083AR,429011.428,4581203.252,41.379221,2.1510377,Platanus × acerifolia,28.76911447,3,Warm
0089084AR,429101.026,4581000.527,41.377403,2.1521328,Platanus × acerifolia,28.66430481,3,Warm
0089086AR,429196.955,4581671.485,41.3834546,2.1532015,Platanus × acerifolia,29.2230238,3,Warm
0089091AR,428312.188,4581511.773,41.3819377,2.1426398,Platanus × acerifolia,28.7673784,3,Warm
0089094AR,428561.717,4582172.783,41.3879134,2.1455458,Platanus × acerifolia,29.30819225,3,Warm
0089099AR,429330.555,4581435.993,41.3813453,2.1548266,Platanus × acerifolia,28.55596167,3,Warm
0089100AR,429012.008,4580913.099,41.3766077,2.1510786,Platanus × acerifolia,28.98488588,3,Warm
0089101AR,428761.396,4581476.22,41.3816574,2.1480157,Platanus × acerifolia,28.584505,3,Warm
0089103AR,428539.579,4581511.256,41.3819533,2.145359,Platanus × acerifolia,28.85186019,3,Warm
