codi,LST_zone,SOS,POS,EOS,GSL
0019446AR,1,70.70535267633817,111.79589794897448,293.1865932966483,222.48124062031013
0019451AR,1,64.22711355677838,117.71885942971484,333.7218609304652,269.49474737368683
0019459AR,1,68.48424212106053,105.13256628314157,280.23011505752874,211.7458729364682
0019463AR,1,69.77988994497248,123.45672836418208,295.40770385192593,225.62781390695346
0019466AR,1,70.52026013006503,99.76488244122059,293.3716858429214,222.85142571285638
0019468AR,1,68.29914957478738,108.46423211605801,265.7928964482241,197.49374687343672
0019469AR,1,63.48674337168584,131.23061530765384,256.53826913456726,193.05152576288143
0019482AR,1,69.96498249124562,109.75987993996998,301.51575787893944,231.55077538769382
0019487AR,1,75.33266633316659,109.3896948474237,277.26863431715856,201.935967983992
0019495AR,1,73.48174087043522,104.02201100550275,345.56778389194596,272.08604302151076
0019512AR,1,67.74387193596799,117.16358179089544,286.33816908454224,218.59429714857424
0019553AR,1,69.22461230615308,140.85542771385693,346.12306153076537,276.8984492246123
0019555AR,1,24.987493746873437,158.4392196098049,258.2041020510255,233.21660830415203
0019557AR,1,70.52026013006503,108.83441720860431,261.3506753376688,190.83041520760378
0019558AR,1,71.07553776888443,101.06053026513257,322.4312156078039,251.35567783891946
0019563AR,1,66.07803901950975,112.72136068034017,255.42771385692845,189.34967483741872
0019569AR,1,67.18859429714857,126.23311655827914,244.5072536268134,177.31865932966483
0019578AR,1,69.96498249124562,119.75487743871935,287.0785392696348,217.11355677838918
0019581AR,1,17.58379189594797,200.64032016008002,291.7058529264632,274.1220610305152
0019582AR,1,70.52026013006503,116.4232116058029,278.19409704852427,207.67383691845924
0019585AR,1,64.22711355677838,123.64182091045522,248.9494747373687,184.72236118059033
0019590AR,1,71.07553776888443,110.68534267133566,301.88594297148575,230.81040520260132
0019606AR,1,70.8904452226113,149.18459229614805,333.1665832916458,262.27613806903446
0019609AR,1,67.92896448224111,115.31265632816408,281.5257628814407,213.5967983991996
0019611AR,1,70.70535267633817,107.35367683841919,287.81890945472736,217.11355677838918
0019622AR,1,70.33516758379189,122.90145072536266,271.9009504752376,201.56578289144574
0019626AR,1,66.44822411205602,101.06053026513257,273.0115057528764,206.56328164082038
0019634AR,1,75.70285142571285,132.1560780390195,370.0,294.2971485742871
0019635AR,1,67.74387193596799,104.94747373686842,251.7258629314657,183.9819909954977
0019637AR,1,70.70535267633817,128.82441220610306,370.0,299.2946473236618
0019663AR,1,64.22711355677838,93.10155077538768,352.7863931965983,288.5592796398199
0019667AR,1,0.0,142.52126063031514,297.8139069534767,297.8139069534767
0019673AR,1,69.22461230615308,121.79089544772384,283.19159579789897,213.9669834917459
0019697AR,1,42.75637818909454,130.86043021510756,343.1615807903952,300.40520260130063
0019713AR,1,55.712856428214096,124.93746873436717,370.0,314.2871435717859
0019714AR,1,72.74137068534267,99.20960480240119,241.17558779389694,168.43421710855426
0019715AR,1,71.44572286143071,101.24562281140568,332.6113056528264,261.16558279139565
0019720AR,1,48.124062031015505,139.18959479739868,270.05002501250624,221.92596298149073
0019726AR,1,64.96748374187092,105.50275137568784,288.1890945472736,223.2216108054027
0019731AR,1,69.22461230615308,123.27163581790894,264.312156078039,195.08754377188592
0019732AR,1,67.00350175087543,99.76488244122059,370.0,302.99649824912456
0019737AR,1,68.66933466733366,183.24162081040518,295.9629814907454,227.29364682341173
0019740AR,1,70.15007503751875,113.64682341170584,287.0785392696348,216.92846423211606
0019753AR,1,67.55877938969483,109.75987993996998,370.0,302.44122061030515
0019764AR,1,56.63831915957979,116.4232116058029,288.92946473236617,232.29114557278638
0019766AR,1,69.59479739869934,98.2841420710355,363.70685342671334,294.11205602801397
0019780AR,1,68.11405702851425,116.05302651325661,254.13206603301649,186.01800900450223
0019782AR,1,64.22711355677838,117.903951975988,331.3156578289144,267.08854427213606
0019785AR,1,70.15007503751875,120.12506253126561,258.7593796898449,188.60930465232613
0019797AR,1,70.70535267633817,108.09404702351175,244.5072536268134,173.80190095047521
0019808AR,1,69.03951975987994,122.34617308654326,316.13806903451723,247.0985492746373
0019816AR,1,36.09304652326163,127.52876438219108,271.16058029014505,235.06753376688343
0019827AR,1,70.33516758379189,111.79589794897448,274.3071535767884,203.9719859929965
0019828AR,1,0.0,214.89244622311156,305.2176088044022,305.2176088044022
0019858AR,1,70.70535267633817,126.78839419709853,272.0860430215107,201.38069034517252
